Z,E,A,observed_interval,annotations,best_measurement,refs,material,repr_abundance
1,H,1,"[0.999 72, 0.999 99]",m,0.999 844 26(5) 2s C,[12],VSMOW*,"[0.999 72, 0.999 99]"
,,2,"[0.000 01, 0.000 28]",,0.000 155 74(5),,,"[0.000 01, 0.000 28]"
2,He,3,"[4.6 × 10–10, 0.000 041]","g, r",0.000 001 343(13) 1s C,[13],Air*,0.000 002(2)
,,4,"[0.999 959, 1.000 000]",,0.999 998 657(13),,,0.999 998(2)
3,Li,6,"[0.019, 0.078]a",m,0.075 89(24) 2s C,[14],IRMM-016*,"[0.019, 0.078]a"
,,7,"[0.922, 0.981]a",,0.924 11(24),,,"[0.922, 0.981]a"
4,Be,9,,,1,[15],,1
5,B,10,"[0.189, 0.204]",m,0.1982(2) 2s C,[16],IRMM-011*,"[0.189, 0.204]"
,,11,"[0.796, 0.811]",,0.8018(2),,,"[0.796, 0.811]"
6,C,12,"[0.9884, 0.9904]",,0.988 922(28) n/a C,[17],NBS 19*,"[0.9884, 0.9904]"
,,13,"[0.0096, 0.0116]",,0.011 078(28),,,"[0.0096, 0.0116]"
7,N,14,"[0.995 78, 0.996 63]",m,0.996 337(4) n/a C,[18],Air*,"[0.995 78, 0.996 63]"
,,15,"[0.003 37, 0.004 22]",,0.003 663(4),,,"[0.003 37, 0.004 22]"
8,O,16,"[0.997 38, 0.997 76]",m,0.997 6206(9) 1s N,"[19, 20]",VSMOW*,"[0.997 38, 0.997 76]"
,,17,"[0.000 367, 0.000 400]",,0.000 3790(9),,,"[0.000 367, 0.000 400]"
,,18,"[0.001 87, 0.002 22]",,0.002 0004(5),,,"[0.001 87, 0.002 22]"
9,F,19,,,1,[21],,1
10,Ne,20,"[0.8847, 0.9051]","g, m",0.904 838(90) 1s C,[22],Air*,0.9048(3)
,,21,"[0.0027, 0.0171]",,0.002 696(5),,,0.0027(1)
,,22,"[0.0920, 0.0996]",,0.092 465(90),,,0.0925(3)
11,Na,23,,,1,[23],,1
12,Mg,24,"[0.7888, 0.7905]",,0.789 51(12) 9uc F,[24],DSM-3*,"[0.7888, 0.7905]"
,,25,"[0.099 88, 0.100 34]",,0.100 20(8),,,"[0.099 88, 0.100 34]"
,,26,"[0.1096, 0.1109]",,0.110 29(10),,,"[0.1096, 0.1109]"
13,Al,27,,,1,[23],,1
14,Si,28,"[0.921 91, 0.923 18]",,0.922 2968(44) 2s C,[25],WASO-17.2,"[0.921 91, 0.923 18]"
,,29,"[0.046 45, 0.046 99]",,0.046 8316(32),,,"[0.046 45, 0.046 99]"
,,30,"[0.030 37, 0.031 10]",,0.030 8716(32),,,"[0.030 37, 0.031 10]"
15,P,31,,,1,[15],,1
16,S,32,"[0.9441, 0.9529]",,0.950 4074(88) 2s C,[26],IAEA-S-1*,"[0.9441, 0.9529]"
,,33,"[0.007 29, 0.007 97]",,0.007 4869(60),,,"[0.007 29, 0.007 97]"
,,34,"[0.0396, 0.0477]",,0.041 9599(66),,,"[0.0396, 0.0477]"
,,36,"[0.000 129, 0.000 187]",,0.000 1458(9),,,"[0.000 129, 0.000 187]"
17,Cl,35,"[0.755, 0.761]",m,0.757 647(38) 2uc C,[27],NIST SRM 975*,"[0.755, 0.761]"
,,37,"[0.239, 0.245]",,0.242 353(38),,,"[0.239, 0.245]"
18,Ar,36,,"g, r",0.003 3361(35) 1s F,[28],Air*,0.003 336(210)
,,38,,,0.000 6289(12),,,0.000 629(70)
,,40,,,0.996 0350(42),,,0.996 035(250)
19,K,39,,,0.932 581(29) 2s C,[29],NIST SRM 985*,0.932 581(44)
,,40,,,0.000 1167(4),,,0.000 117(1)
,,41,,,0.067 302(29),,,0.067 302(44)
20,Ca,40,"[0.969 33, 0.969 47]",g,0.969 41(6) 2s N,[30],NIST SRM 915*,0.969 41(156)
,,42,"[0.006 46, 0.006 48]",,0.006 47(3),,,0.006 47(23)
,,43,"[0.001 35, 0.001 35]",,0.001 35(2),,,0.001 35(10)
,,44,"[0.020 82, 0.020 92]",,0.020 86(4),,,0.020 86(110)
,,46,"[0.000 04, 0.000 04]",,0.000 04(1),,,0.000 04(3)
,,48,"[0.001 86, 0.001 88]",,0.001 87(1),,,0.001 87(21)
21,Sc,45,,,1,[31],,1
22,Ti,46,,,0.082 49(21) 2s C,[32],TiO2,0.0825(3)
,,47,,,0.074 37(14),,,0.0744(2)
,,48,,,0.737 20(22),,,0.7372(3)
,,49,,,0.054 09(10),,,0.0541(2)
,,50,,,0.051 85(13),,,0.0518(2)
23,V,50,"[0.002 487, 0.002 502]",,0.002 497(6) 1s F,[33],Lead vanadate,0.002 50(10)
,,51,"[0.997 498, 0.997 513]",,0.997 503(6),,,0.997 50(10)
24,Cr,50,"[0.042 94, 0.043 45]",,0.043 452(85) 2s C,[34],NIST SRM 979*,0.043 45(13)
,,52,"[0.837 62, 0.837 90]",,0.837 895(117),,,0.837 89(18)
,,53,"[0.095 01, 0.095 53]",,0.095 006(110),,,0.095 01(17)
,,54,"[0.023 65, 0.023 91]",,0.023 647(48),,,0.023 65(7)
25,Mn,55,,,1,[15],,1
26,Fe,54,"[0.058 37, 0.058 61]",,0.058 450(230) 2s C,[35],IRMM-014*,0.058 45(105)
,,56,"[0.917 42, 0.917 60]",,0.917 540(240),,,0.917 54(106)
,,57,"[0.021 16, 0.021 21]",,0.021 191(65),,,0.021 19(29)
,,58,"[0.002 81, 0.002 82]",,0.002 819(27),,,0.002 82(12)
27,Co,59,,,1,[15],,1
28,Ni,58,,r,0.680 769(59) 2s C,[36],NIST SRM 986*,0.680 769(190)
,,60,,,0.262 231(51),,,0.262 231(150)
,,61,,,0.011 399(4),,,0.011 399(13)
,,62,,,0.036 345(11),,,0.036 345(40)
,,64,,,0.009 256(6),,,0.009 256(19)
29,Cu,63,"[0.689 83, 0.693 38]",r,0.691 74(20) 2s C,[37],NIST SRM 976*,0.6915(15)
,,65,"[0.306 62, 0.310 17]",,0.308 26(20),,,0.3085(15)
30,Zn,64,,r,0.491 704(83) 2s C,[38],IRMM-3702*,0.4917(75)
,,66,,,0.277 306(110),,,0.2773(98)
,,67,,,0.040 401(18),,,0.0404(16)
,,68,,,0.184 483(69),,,0.1845(63)
,,70,,,0.006 106(11),,,0.0061(10)
31,Ga,69,,,0.601 079(62) 2s C,[39],NIST SRM 994*,0.601 08(50)
,,71,,,0.398 921(62),,,0.398 92(50)
32,Ge,70,,,0.205 26(46) 2uc F,[40],Ge metal,0.2052(19)
,,72,,,0.274 46(15),,,0.2745(15)
,,73,,,0.077 60(25),,,0.0776(8)
,,74,,,0.365 23(63),,,0.3652(12)
,,76,,,0.077 45(35),,,0.0775(12)
33,As,75,,,1,[15],,1
34,Se,74,,r,0.008 63(3) 2uc F,[41],NIST SRM 3149*,0.0086(3)
,,76,,,0.092 20(6),,,0.0923(7)
,,77,,,0.075 94(4),,,0.0760(7)
,,78,,,0.236 85(14),,,0.2369(22)
,,80,,,0.498 13(16),,,0.4980(36)
,,82,,,0.088 25(8),,,0.0882(15)
35,Br,79,"[0.505, 0.508]",,0.506 86(26) 2s C,[42],NIST SRM 977*,"[0.505, 0.508]"
,,81,"[0.492, 0.495]",,0.493 14(26),,,"[0.492, 0.495]"
36,Kr,78,,"g, m",0.003 5518(32) 2s C,[43],IRMM-2030*,0.003 55(3)
,,80,,,0.022 8560(96),,(Air),0.022 86(10)
,,82,,,0.115 930(62),,,0.115 93(31)
,,83,,,0.114 996(58),,,0.115 00(19)
,,84,,,0.569 877(58),,,0.569 87(15)
,,86,,,0.172 790(32),,,0.172 79(41)
37,Rb,85,,g,0.721 654(132) 2s C,[44],NIST SRM 984*,0.7217(2)
,,87,,,0.278 346(132),,,0.2783(2)
38,Sr,84,"[0.0055, 0.0058]","g, r",0.005 574(16) 2s C,[45],NIST SRM 987*,0.0056(2)
,,86,"[0.0975, 0.0999]",,0.098 566(34),,,0.0986(20)
,,87,"[0.0694, 0.0714]",,0.070 015(26),,,0.0700(20)
,,88,"[0.8229, 0.8275]",,0.825 845(66),,,0.8258(35)
39,Y,89,,,1,[46],,1
40,Zr,90,,g,0.514 52(9) 2s N,[47],–,0.5145(4)
,,91,,,0.112 23(12),,,0.1122(5)
,,92,,,0.171 46(7),,,0.1715(3)
,,94,,,0.173 80(12),,,0.1738(4)
,,96,,,0.027 99(5),,,0.0280(2)
41,Nb,93,,,1,[23],,1
42,Mo,92,,g,0.146 49(17) 1uc F,[48],NIST SRM 3134*,0.146 49(106)
,,94,,,0.091 87(5),,,0.091 87(33)
,,95,,,0.158 73(5),,,0.158 73(30)
,,96,,,0.166 73(2),,,0.166 73(8)
,,97,,,0.095 82(3),,,0.095 82(15)
,,98,,,0.242 92(14),,,0.242 92(80)
,,100,,,0.097 44(10),,,0.097 44(65)
43,Tc,–,,,–,,,–
44,Ru,96,,g,0.055 420(1) 1s N,[49],–,0.0554(14)
,,98,,,0.018 688(2),,,0.0187(3)
