abbreviation,type,formula,short_name,systematic_name
4eLeg,Di-deoxynonulosonate,C9 H16 N2 O5,4-Epilegionaminic acid,"5,7-Diamino-3,5,7,9-tetradeoxy-D-glycero-D-talo-non-2-ulopyranosonic acid"
6dAlt,Deoxyhexose,C6 H10 O4,6-Deoxy-L-altrose,6-Deoxy-L-altropyranose
6dAltNAc,DeoxyhexNAc,C8 H13 N O4,N-Acetyl-6-deoxy-L-altrosamine,"2-Acetamido-2,6-dideoxy-L-altropyranose"
6dGul,Deoxyhexose,C6 H10 O4,6-Deoxy-D-gulose,6-Deoxy-D-gulopyranose
6dTal,Deoxyhexose,C6 H10 O4,6-Deoxy-D-talose,6-Deoxy-D-talopyranose
6dTalNAc,DeoxyhexNAc,C8 H13 N O4,N-Acetyl-6-deoxy-D-talosamine,"2-Acetamido-2,6-dideoxy-D-talopyranose"
Abe,Di-deoxyhex,C6 H10 O3,Abequose,"3,6-Dideoxy-D-xylo-hexopyranose"
Aci,Di-deoxynonulosonate,C9 H16 N2 O5,Acinetaminic acid,"5,7-Diamino-3,5,7,9-tetradeoxy-L-glycero-L-altro-non-2-ulopyranosonic acid"
All,Hexose,C6 H10 O5,D-Allose,D-Allopyranose
AllA,Hexuronate,C5 H8 O6,D-Alluronic acid,D-Allopyranuronic acid
AllN,Hexosamine,C6 H11 N O4,D-Allosamine,2-Amino-2-deoxy-D-allopyranose
AllNAc,HexNAc,C8 H13 N O5,N-Acetyl-D-allosamine,2-Acetamido-2-deoxy-D-allopyranose
Alt,Hexose,C6 H10 O5,L-Altrose,L-Altropyranose
AltA,Hexuronate,C5 H8 O6,L-Altruronic acid,L-Altropyranuronic acid
AltN,Hexosamine,C6 H11 N O4,L-Altrosamine,2-Amino-2-deoxy-L-altropyranose
AltNAc,HexNAc,C8 H13 N O5,N-Acetyl-L-altrosamine,2-Acetamido-2-deoxy-L-altropyranose
Api,Other,C5 H8 O4,L-Apiose,3-C-(Hydroxymethyl)-L-erythro-tetrofuranose
Ara,Pentose,C5 H8 O4,L-Arabinose,L-Arabinopyranose
Bac,Other,C6 H12 N2 O2,Bacillosamine,"2,4-Diamino-2,4,6-trideoxy-D-glucopyranose"
Col,Di-deoxyhex,C6 H10 O3,Colitose,"3,6-Dideoxy-L-xylo-hexopyranose"
DDmanHep,Other,C7 H12 O6,D-glycero-D-manno-Heptose,D-glycero-D-manno-Heptopyranose
Deoxyhex,Deoxyhex,C6 H10 O4,Deoxyhexose,Deoxyhexose residue of unspecified type
DeoxyhexNAc,DeoxyhexNAc,C8 H13 N O4,N-Acetyldeoxyhexose,N-Acetyldeoxyhexose of unspecified type
